User ID,Session ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,Charger Type,User Type
User_1,S1,BMW i3,108.4630074,Station_391,Houston,1/1/2024 0:00,1/1/2024 0:39,60.71234573,36.38918057,13.08771679,Evening,Tuesday,DC Fast Charger,Commuter
User_2,S2,Hyundai Kona,100,Station_428,San Francisco,1/1/2024 1:00,1/1/2024 3:01,12.3392752,30.67773494,21.12844793,Morning,Monday,Level 1,Casual Driver
User_3,S3,Chevy Bolt,75,Station_181,San Francisco,1/1/2024 2:00,1/1/2024 4:48,19.1288757,27.51359256,35.66727042,Morning,Thursday,Level 2,Commuter
User_4,S4,Hyundai Kona,50,Station_327,Houston,1/1/2024 3:00,1/1/2024 6:42,79.45782399,32.88286976,13.03623883,Evening,Saturday,Level 1,Long-Distance Traveler
User_5,S5,Hyundai Kona,50,Station_108,Los Angeles,1/1/2024 4:00,1/1/2024 5:46,19.62910417,10.21571207,10.16147117,Morning,Saturday,Level 1,Long-Distance Traveler
User_6,S6,Nissan Leaf,50,Station_335,San Francisco,1/1/2024 5:00,1/1/2024 7:10,43.18113714,14.33452278,36.90034078,Evening,Saturday,DC Fast Charger,Long-Distance Traveler
User_7,S7,Chevy Bolt,85,Station_162,Houston,1/1/2024 6:00,1/1/2024 7:53,36.86213999,26.18518786,22.21422518,Evening,Friday,Level 2,Commuter
User_8,S8,Chevy Bolt,75,Station_302,Los Angeles,1/1/2024 7:00,1/1/2024 10:42,51.46761686,26.70290777,9.796821321,Afternoon,Monday,Level 2,Long-Distance Traveler
User_9,S9,Chevy Bolt,62,Station_493,Los Angeles,1/1/2024 8:00,1/1/2024 9:21,43.59237228,14.29492293,32.46500507,Evening,Wednesday,Level 1,Commuter
User_10,S10,Hyundai Kona,50,Station_452,Chicago,1/1/2024 9:00,1/1/2024 12:44,78.86860745,11.76099972,21.31230245,Morning,Wednesday,DC Fast Charger,Commuter
User_11,S11,BMW i3,50,Station_206,Los Angeles,1/1/2024 10:00,1/1/2024 13:59,18.20619748,10.31070111,38.2212307,Night,Thursday,DC Fast Charger,Casual Driver
