Session ID,User ID,Vehicle_Variant_ID,Station_Variant_ID,Date,TimeOfDay_ID,Charging Duration (hours),Energy Consumed (kWh),Charging Rate (kW),Charging Cost (USD)
S1,User_1,V27,S784,2024-01-01,1,0.65,60.712,36.389,13.09
S2,User_2,V86,S887,2024-01-01,2,2.017,12.339,30.678,21.13
S3,User_3,V51,S243,2024-01-01,2,2.8,19.129,27.514,35.67
S4,User_4,V70,S622,2024-01-01,1,3.7,79.458,32.883,13.04
S5,User_5,V70,S36,2024-01-01,2,1.767,19.629,10.216,10.16
S6,User_6,V107,S645,2024-01-01,1,2.167,43.181,14.335,36.9
S7,User_7,V58,S185,2024-01-01,1,1.883,36.862,26.185,22.21
S8,User_8,V51,S556,2024-01-01,3,3.7,51.468,26.703,9.8
S9,User_9,V50,S1055,2024-01-01,1,1.35,43.592,14.295,32.47
S10,User_10,V70,S956,2024-01-01,2,3.733,78.869,11.761,21.31
S11,User_11,V7,S313,2024-01-01,4,3.983,18.206,10.311,38.22
S12,User_12,V58,S1149,2024-01-01,1,3.917,22.565,4.465,14.05
S13,User_13,V86,S179,2024-01-01,3,1.0,34.256,5.524,10.97
S14,User_14,V119,S623,2024-01-01,2,2.9,16.561,19.769,37.44
S15,User_15,V16,S1196,2024-01-01,3,3.533,12.928,24.211,18.55
S16,User_16,V126,S139,2024-01-01,1,2.317,27.354,11.112,33.09
S17,User_17,V22,S294,2024-01-01,1,2.033,24.727,49.403,17.49
S18,User_18,V70,S6,2024-01-01,1,3.217,23.824,6.614,6.43
S19,User_19,V160,S902,2024-01-01,1,3.05,42.638,20.491,25.08
S20,User_20,V7,S75,2024-01-01,2,1.367,48.482,45.291,7.09
S21,User_21,V107,S1158,2024-01-01,4,2.9,50.279,30.49,28.87
S22,User_22,V74,S1036,2024-01-01,1,1.917,59.135,30.853,34.85
S23,User_23,V12,S117,2024-01-01,3,3.033,49.196,19.195,14.86
S24,User_24,V160,S621,2024-01-01,2,0.517,68.447,49.71,38.41
S25,User_25,V160,S150,2024-01-02,2,1.917,27.604,11.239,24.04
S26,User_26,V51,S522,2024-01-02,2,2.7,40.178,12.319,38.76
S27,User_27,V51,S712,2024-01-02,3,0.55,43.488,36.182,27.45
S28,User_28,V107,S661,2024-01-02,4,3.217,10.339,45.777,9.86
S29,User_29,V12,S86,2024-01-02,3,0.583,31.684,48.649,25.62
S30,User_30,V12,S907,2024-01-02,3,2.967,56.593,45.812,33.13
S31,User_31,V62,S402,2024-01-02,3,3.9,19.474,7.044,36.95
S32,User_32,V23,S1091,2024-01-02,1,2.45,38.289,12.064,17.01
S33,User_33,V23,S287,2024-01-02,1,1.967,16.136,21.518,26.44
